FCLTY_ID,FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,SEARCH_MT,SEARCH_CO,RANK_CO,FILE_NM,BASE_DE
KC594PO21N000000001,2014 안양시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149,2021-12,50.0,1,KC_594_WNTY_FSTV_TRND_MAP_2021,20220224
KC594PO21N000000002,2014 안양시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149,2021-11,350.0,2,KC_594_WNTY_FSTV_TRND_MAP_2021,20220224
KC594PO21N000000003,2014 안양시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149,2021-10,420.0,3,KC_594_WNTY_FSTV_TRND_MAP_2021,20220224
KC594PO21N000000004,2014 안양시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149,2021-09,210.0,4,KC_594_WNTY_FSTV_TRND_MAP_2021,20220224
KC594PO21N000000005,2014 안양시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149,2021-08,100.0,5,KC_594_WNTY_FSTV_TRND_MAP_2021,20220224
KC594PO21N000000006,2014 안양시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149,2021-07,80.0,6,KC_594_WNTY_FSTV_TRND_MAP_2021,20220224
KC594PO21N000000007,2014 안양시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149,2021-06,90.0,7,KC_594_WNTY_FSTV_TRND_MAP_2021,20220224
KC594PO21N000000008,2014 안양시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149,2021-05,70.0,8,KC_594_WNTY_FSTV_TRND_MAP_2021,20220224
KC594PO21N000000009,2014 안양시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149,2021-04,60.0,9,KC_594_WNTY_FSTV_TRND_MAP_2021,20220224
KC594PO21N000000010,2014 안양시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149,2021-03,70.0,10,KC_594_WNTY_FSTV_TRND_MAP_2021,20220224
