FSTVL_NM,OPAR_NM,FSTVL_CN,TEL_NO,HMPG_URL,FCLTY_ROAD_NM_ADDR,LNM_ADDR,LA,LO,BHF_CD,BHF_NM,MESURE_DE,AVRG_TP,AVRG_TOP_TP,AVRG_LWET_TP,TOP_TP,LWET_TP,TOP_TP_OCCRRNC_DE,LWET_TP_OCCRRNC_DE,AVRG_ARCSR,AVRG_PARTN_HD,AVRG_WIND_VE
(23년미정)하남이성산성문화축제,하남유니온파크,음악공연+체험행사+온라인 이벤트,317907979,www.hnart.or.kr,경기도 하남시 미사대로 710,경기도 하남시 신장동 27,,,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
(가칭)문화로 동행축제,연구수 전역,"지역축제 연계, 시민 기획프로그램 운영",327497304,,인천광역시 연수구 새말로 120,인천광역시 연수구 연수동 578,37.41812199,126.6823541,112,인천,20221101,10.2,14.4,6.5,21.4,-7.4,20221112,20221130,1013,64,2.7
(미확정)동해무릉제,동해웰빙레포츠타운,개막식+퍼레이드+공연행사+체험행사+동대항 민속경기+민속예술시연,335302111,http://www.dh.go.kr/tour/sub.htm?nav_code=tou1497764548,강원도 동해시 덕골길 10,강원도 동해시 천곡동 363-1,37.51606095,129.1021986,106,동해,20221101,12.1,16.7,7.6,23.2,-1.9,20221112,20221130,1015.1,58,1.8
(축제 취소)광양매화축제,다압면 섬진마을 일원,공연+경연+체험+전시+판매+부대행사,617972721,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 시청로 33,전라남도 광양시 중동 1313,34.94063056,127.6959675,174,순천,20221101,9.3,17.8,2.5,22.7,-3,20221110,20221130,1001.1,72,1.7
(축제 취소)백운산국사봉철쭉축제,옥곡면 국사봉랜드,공연+경연+체험+전시+판매+부대행사,617974233,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 옥곡면 옥진로 665-1,전라남도 광양시 옥곡면 수평리 131-3,34.98936299,127.7001825,168,여수,20221101,13.3,17.6,9.8,21.1,-0.9,20221101,20221130,1012.6,60,3.7
(코로나19로 행사취소)합천벚꽃마라톤대회,백리벚꽃길 코스,벚꽃길에서 펼쳐지는 달리미들의 대향연,559304943,https://www.hc.go.kr/06573/06623/06624.web,경상남도 합천군 대병면 합천호수로 197,경상남도 합천군 대병면 회양리 1603-1,35.531585,128.0295197,285,합천,20221101,9.4,17.8,3.1,22.8,-2.2,20221112,20221105,1017.5,70,0.5
(코로나19로 행사취소)황매산 철쭉제,황매산군립공원,황매산 철쭉을 즐기는 축제,559304753,http://www.hwangmaesan.kr,경상남도 합천군 가회면 황매산공원길 4,경상남도 합천군 가회면 둔내리 1319,35.48184913,128.0037495,285,합천,20221101,9.4,17.8,3.1,22.8,-2.2,20221112,20221105,1017.5,70,0.5
(코로나로 일정 미정)서산6쪽마늘축제,해미읍성,6쪽마늘 판매+공연+체험,416603937,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 해미면 남문2로 143,,,,129,서산,20221101,9.3,16.1,3.7,22.5,-3.8,20221112,20221130,1018.6,73,1.6
(코로나로 일정 미정)서산뻘낙지먹물축제,지곡면 중리포구,낙지 잡기 체험 및 공연,416602069,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 지곡면 어름들2길 66,,,,129,서산,20221101,9.3,16.1,3.7,22.5,-3.8,20221112,20221130,1018.6,73,1.6
(코로나로 일정 미정)서산어리굴젓축제,부석면 간월도리,어리굴젓 캐기 체험 및 판매,416602069,https://www.seosan.go.kr/tour/index.do,,충청남도 서산시 부석면 간월도리 26-27,,,129,서산,20221101,9.3,16.1,3.7,22.5,-3.8,20221112,20221130,1018.6,73,1.6
(코로나로 일정 미정)지곡 왕산포 서산갯마을축제,지곡면 중리포구,갯벌 바지락 캐기 체험 및 공연,416602069,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 지곡면 어름들2길 66,,,,129,서산,20221101,9.3,16.1,3.7,22.5,-3.8,20221112,20221130,1018.6,73,1.6
(코로나로 일정 미정)해미벚꽃축제,해미면 해미천,벚꽃축제 및 공연,416603844,https://www.seosan.go.kr/tour/index.do,,충청남도 서산시 해미면 읍내리 274-9,,,129,서산,20221101,9.3,16.1,3.7,22.5,-3.8,20221112,20221130,1018.6,73,1.6
「제34회 대구약령시 한방문화축제」,약령시(약전골목) 일원,경연+ 참여+ 체험+ 전시+ 공연+ 먹거리 등,536612044,,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 35-13,35.86728562,128.5933466,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
「제35회 대구약령시 한방문화축제」,약령시(약전골목) 일원,경연+ 참여+ 체험+ 전시+ 공연+ 먹거리 등,536612044,,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 35-13,35.86728562,128.5933466,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
「제36회 대구약령시 한방문화축제」,약령시(약전골목) 일원,경연+ 참여+ 체험+ 전시+ 공연+ 먹거리 등,536612044,,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 35-13,35.86728562,128.5933466,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
「제37회 대구약령시 한방문화축제」,약령시(약전골목) 일원,경연+ 참여+ 체험+ 전시+ 공연+ 먹거리 등,536612044,,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 35-13,35.86728562,128.5933466,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
<도서관 속 작업실 II>展,의정부미술도서관,오픈스튜디오 3기+4기 작가 결과보고 전시,318288870,,경기도 의정부시 민락로 248,,37.745147,127.106129,99,파주,20221101,7.1,14.4,0.9,22.3,-9.2,20221112,20221130,1018.7,78,0.9
119안전문화축제,남구 태화강 둔치(태화로타리 앞) 일원,"보고, 듣고, 느끼는 오감만족형 안전체험의 장을 마련하여 안전문화의식을 확산하고자 개최하는 2021 울산119안전문화축제",522295331,http://fire.ulsan.go.kr/,,울산광역시 남구 신정동 391 (울산시민공원),35.55011074,129.3101786,152,울산,20221101,12.7,18.3,7.7,22.7,-1.5,20221128,20221130,1010.7,58,1.9
14회 울산대공원 장미축제,울산대공원 장미원,"사랑 향기가 가득한 행복도시, 울산을 대표하는 울산대공원 장미축제",522293341,http://ulsanrosefestival.com,울산광역시 남구 대공원로 94,울산광역시 남구 옥동 산138,35.53098415,129.2939195,152,울산,20221101,12.7,18.3,7.7,22.7,-1.5,20221128,20221130,1010.7,58,1.9
2014 안양 아줌마축제,평촌중앙공원,아줌마 축제 개막식 및 폐막식+ 주민자치센터 동호회 공연  등,316870500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2014 안양시민축제,평촌중앙공원+삼덕공원,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송+ 거리공연 등,316870500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2015 안양 시민축제,평촌중앙공원+삼덕공원,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송 등,316870500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2015 안양 아줌마축제,평촌중앙공원,아줌마 축제 개막식 및 폐막식 공연+ 주민자치센터 끼열전+ 명사초청가요제 등,316870500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2016 광복기념음악회,병목안시민공원,안양필하모닉 오케스트라연주+ 트럼펫연주곡+ 안양시립합창단 공연등,316870500,http://www.ayac.or.kr,경기도 안양시 만안구 병목안로 215,경기도 안양시 만안구 안양동 산 82-2,37.38528888,126.9076745,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2016 대가야체험축제,"대가야박물관, 대가야역사테마관광지, 대가야문화누리, 관내 일원","36개 체험프로그램, 이조년 전국백일장 등 연계행사, 대가야박물관 기획특별전 등 부대행사, 역사재현극 등",549506424,http://fest.daegaya.net,경상북도 고령군 대가야읍 대가야로 1216,경상북도 고령군 대가야읍 지산리 471-1,35.72008225,128.259677,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
2016 대구약령시한방문화축제,약령시(약전골목) 일원,경연+ 참여+ 체험+ 전시+ 공연+ 먹거리 등,536612044,,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 35-13,35.86728562,128.5933466,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
2016 안양 시민축제,평촌중앙공원+삼덕공원+범계로데오,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송 등,316870500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2016 안양 아줌마축제,평촌중앙공원,아줌마 축제 기념공연+ 여성동호회공연+ 주부가요제+ 홍보체험부스+ 김치왕선발대회 등,316870500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2016 제5회 안양공공예술프로젝트,안양예술공원,개막식+ 체험부스운영+ 공공예술작품 전시 및 공연,316870916,http://www.ayac.or.kr,경기도 안양시 만안구 예술공원로 180(안양동),경기도 안양시 만안구 안양동 1351,37.4194056,126.925606,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2017 광복기념음악회,안양아트센터 관악홀,안양필하모닉 오케스트라연주+ 안양시립합창단 공연 등 (우천으로 안양아트센터 관악홀 실내 진행),316870500,http://www.ayac.or.kr,경기도 안양시 만안구 문예로 36번길 16,경기도 안양시 만안구 안양동 549,37.38458779,126.9313651,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2017 대구약령시한방문화축제,약령시(약전골목) 일원,경연+ 참여+ 체험+ 전시+ 공연+ 먹거리 등,536612044,,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 57,35.86728562,128.5933466,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
2017 물의나라화천 쪽배축제,강원도 화천군 화천읍 붕어섬일원,"물놀이장, 산천호경주대회, 창작쪽배콘테스트 등",16883005,www.narafestival.com,강원도 화천군 화천읍 강변로 2-54,강원도 화천군 화천읍 하리 243,38.1007316,127.6970642,101,춘천,20221101,7.5,14.7,1.8,21.4,-7.3,20221111,20221130,1012.6,74,0.9
2017 안양 시민축제,평촌중앙공원+병목안시민공원+범계로데오,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,316870500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2017 안양 아줌마축제,평촌중앙공원,아줌마 축제 기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,316870500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2017 안양충훈벚꽃축제,안양충훈2교일대,축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등,316870500,http://www.ayac.or.kr,경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.40461526,126.8961574,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2017 얼음나라화천 산천어축제,강원도 화천군 화천읍 화천천일원,"얼음낚시, 맨손잡기, 눈얼음체험, 얼음조각광장 등",16883005,www.narafestival.com,강원도 화천군 화천읍 산천어길 137,강원도 화천군 화천읍 중리 186-5,38.112578,127.709826,101,춘천,20221101,7.5,14.7,1.8,21.4,-7.3,20221111,20221130,1012.6,74,0.9
2018 광복기념음악회,병목안시민공원,뮤지컬 그룹 플래티넘+ 안양시립합창단 공연 등,316870500,http://www.ayac.or.kr,경기도 안양시 만안구 병목안로 215,경기도 안양시 만안구 안양동 산 82-2,37.38528888,126.9076745,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2018 대구약령시한방문화축제,약령시(약전골목) 일원,경연+ 참여+ 체험+ 전시+ 공연+ 먹거리 등,536612044,,대구광역시 중구 달구벌대로415길 49,대구광역시 중구 남성로 51-1,35.86851636,128.5899085,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
2018 안양 시민축제,평촌중앙공원+병목안시민공원+범계로데오,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,316870500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2018 안양여성축제,평촌중앙공원,기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,316870500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2018 안양충훈벚꽃축제,안양충훈2교일대,축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등,316870500,http://www.ayac.or.kr,경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.40461526,126.8961574,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2019 광복기념음악회,병목안시민공원,뮤지컬 그룹 플래티넘+ 안양시립합창단 공연 등,316870500,http://www.ayac.or.kr,경기도 안양시 만안구 병목안로 215,경기도 안양시 만안구 안양동 산 82-2,37.38528888,126.9076745,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2019 대구약령시한방문화축제,약령시(약전골목) 일원,경연+ 참여+ 체험+ 전시+ 공연+ 먹거리 등,536612178,,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 35-13,35.86728562,128.5933466,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
2019 송년콘서트 및 청소년페스티벌,철원실내체육관,"송년콘서트, 청소년페스티벌",334505255,https://www.cwgfestival.com,강원도 철원군 갈말읍 갈말로 75,강원도 철원군 갈말읍 군탄리 1341,38.161341,127.303257,95,철원,20221101,6.6,13.9,0.5,20.6,-9.7,20221111,20221130,1003.4,77,0.9
2019 신안 섬 갯벌 축제,증도면 일원,"방송축하쇼+해상불꽃쇼문화행사+케이팝EDM페스타+갯벌콘서트+바다,갯벌스포츠 체험/키즈 워터파크 갯벌 놀이터+호핑투어+전국 카누대회+전국패들보드대회+전국 마라톤(달리기)대회+갯벌 스포츠 종목",612408684,https://tour.shinan.go.kr/,전라남도 신안군 증도면 문준경길 459-2,,,,165,목포,20221101,12.1,16.9,8.3,23.4,-1.7,20221111,20221130,1015.9,69,3.6
2019 안양 시민축제,평촌중앙공원+병목안시민공원+범계로데오,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,316870500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2019 안양여성축제,평촌중앙공원,기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,316870500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2019 안양충훈벚꽃축제,안양충훈2교일대,축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등,316870500,http://www.ayac.or.kr,경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.40461526,126.8961574,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2019 제4회 이담농악두드림대축제,중앙 도심교통광장,동두천시 무형문화재 제3호 이담농악보존회에서 주관하는 축제,318602063,http://www.ddc.go.kr,경기도 동두천시 중앙로 268,경기도 동두천시 생연동 594-1,37.90543939,127.0546796,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
2019청도반시축제,청도야외공연장,청도반시전시판매행사 및 공연,543702377,http://www.청도반시축제.kr,경상북도 청도군 화양읍 청려로 1846,경상북도 청도군 화양읍 동천리 457,35.64838523,128.7186823,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
2019청도세계코미디아트페스티벌,청도야외공연장,코미디를 테마로 한 공연+전시+체험 등,543706376,http://www.청도코아페.kr,경상북도 청도군 화양읍 청려로 1846,경상북도 청도군 화양읍 동천리 450,35.64838523,128.7186823,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
2019청도소싸움축제,청도소싸움경기장,전통소싸움대회 및 공연행사,543706376,http://www.청도소싸움.kr,경상북도 청도군 화양읍 남성현로 348,경상북도 청도군 화양읍 삼신리 693-2,35.6867346,128.7251449,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
2020 대구 문화재 야행,"약령시, 청라언덕",청사초롱 야경 투어+ 전시행사 및 포토존 운영+ 공연 무관중 사전녹화 영상 등 송출,536612195,,대구광역시 중구 달구벌대로415길 49,대구광역시 중구 남성로 51-1,35.86851636,128.5899085,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
2020 동작복지나눔축제,관내 대학교 등(미정),"사회복지의 날 기념식+복지나눔콘서트,+오색복지 체험·나눔부스 등",28209542,,서울특별시 동작구 상도로 369,서울특별시 동작구 상도동 511,37.4964296,126.9551598,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
2020 부평풍물대축제,신트리공원 등,다큐멘터리 제작+지역 문화예술인 참여 소규모 공연 등,325097516,https://portal.icbp.go.kr/bpf/,인천광역시 부평구 신트리로 21,인천광역시 부평구 부평동 880,37.506554,126.7236393,112,인천,20221101,10.2,14.4,6.5,21.4,-7.4,20221112,20221130,1013,64,2.7
2020 화엄음악제,화엄사 경내 일원,"○ 영성음악제, 화엄콘서트, 서예전시, 요가명상수련 등",617802431,,전라남도 구례군 마산면 화엄사로 539,,35.25731602,127.4977197,174,순천,20221101,9.3,17.8,2.5,22.7,-3,20221110,20221130,1001.1,72,1.7
2021  ACC  뮤직페스티벌,광주광역시 동구 국립아시아문화전당 어린이극장 어린이문화원,뮤직페스티벌,626014621,https://www.acc.go.kr/info/board/board.do?PID=0401&boardID=NOTICE&category=1&action=Read&idx=1500,광주광역시 동구 문화전당로 38,광주광역시 동구 광산동 13,35.14691559,126.9199945,156,광주,20221101,11.8,18.1,6.8,24.4,-1.7,20221111,20221130,1012.9,62,1
2021 광해 원도심을 만나다,제주시 원도심일대,7~9월 간 광해군의 주요 기념일과 연계하여 걷기투어 인문학강좌 역사퀴즈쇼 외에 8가지 프로그램으로 다채롭게 체험할 수 있는 테마축제,647270617,http://www.jejuregen.org/forum/notice/2500,제주특별자치도 제주시 칠성로길1,,33.5135027,126.5234011,184,제주,20221101,15.2,19.3,11.8,27.4,4.1,20221128,20221130,1018.7,71,3.1
2021 부평풍물대축제,부평아트센터,전통+창작+가족 공연+개막 및 폐막 공연+작품전시 등,325097516,https://portal.icbp.go.kr/bpf/,인천광역시 부평구 아트센터로 166,인천광역시 부평구 십정동 186-22,37.4822383,126.7049334,112,인천,20221101,10.2,14.4,6.5,21.4,-7.4,20221112,20221130,1013,64,2.7
2021 안성맞춤 남사당 바우덕이축제,안성맞춤랜드,"남사당공연(비대면), 국내 전통공연(비대면), 안성랜선마켓, 경관조명 설치 운영 등",316782513,www.anseong.go.kr,경기도 안성시 보개면 남사당로 198,경기도 안성시 보개면 복평리 303-3,37.03286724,127.3078041,203,이천,20221101,8,15.4,1.7,22.4,-6.7,20221112,20221130,1012.7,74,0.7
2021 안양시민축제 <우선멈춤>,평촌중앙공원+삼덕공원+온라인(www.aydf.or.kr),시민과 함께하는 K-POP 댄스 페스티벌,316870500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
2021 제12회 제주프랑스영화제,CGV제주 및 제주북초등학교,매해 다양한 장르의 고품격 프랑스영화 장편· 단편 작품을 제주에 소개하고 있는 제주프랑스영화제,7045485367,www.jejufff.org,제주특별자치도 제주시 서광로 288,,33.5000817,126.5272542,184,제주,20221101,15.2,19.3,11.8,27.4,4.1,20221128,20221130,1018.7,71,3.1
2021년 거창크리스마스트리문화축제,거창로터리 일원,메인트리 및 포토존 등 트리장식 설치+사진동영상 공모전+문화예술공연 동영상 중계 등,559433579,,경상남도 거창군 거창읍 중앙로 103,경상남도 거창군 거창읍 상림리 64-1,35.68667584,127.9095332,284,거창,20221101,8.1,17.4,0.9,23.3,-4.8,20221112,20221130,993.7,71,1
2021청도반시축제,온라인,청도반시전시판매행사 및 공연,543731951,http://www.청도반시축제.kr,경상북도 청도군 화양읍 청화로 70,경상북도 청도군 화양읍 범곡리 133,35.64725258,128.7339993,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
2022 강남페스티벌,"코엑스, 영동대로, 강남역, 마루공원 등 강남구 전역","강남의 대표 문화관광자원을 집대성한 총 19개 프로그램 진행(미디어쇼, 영동대로 K-POP 콘서트 등)",234235534,https://visitgangnam.net/gnfestival/,서울특별시 강남구 영동대로 513 등,,,,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
2022 강릉누들축제,강릉 월화거리 일원(홈플러스 방면),"누들 쿠킹쇼, 쿠킹클래스, 시식회, 대형 수제비 만들기 등",336405130,,강원도 강릉시 경강로 2112,강원도 강릉시 임당동 113-2,37.75538612,128.8981649,105,강릉,20221101,12.7,18.3,8.2,26.5,-3,20221112,20221130,1016.7,55,2.2
2022 강릉와인축제,강릉 월화거리 일원(문선빌딩 방면),도전 와인 골든벨+선셋 와인 아워+시음존 등 운영,336476802,https://www.gncaf.or.kr/contents.asp?page=482,강원도 강릉시 경강로 2111,강원도 강릉시 임당동 106-1,37.75589225,128.8974693,105,강릉,20221101,12.7,18.3,8.2,26.5,-3,20221112,20221130,1016.7,55,2.2
2022 경기인디뮤직페스티벌,백마도+아라마리나 일원,인디뮤지션 공연 및 부대행사,326238032,http://gimf.co.kr/,,경기도 김포시 고촌읍 전호리 661,37.59870927,126.7878826,201,강화,20221101,8.1,14.1,2.8,20.6,-7.8,20221112,20221130,1016.5,75,1.4
2022 고양호수예술축제,고양시 일산호수공원 및인근거리,국내외 거리예술공연 및 시민참여프로그램,319609684,http://www.gylaf.kr,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,37.65384593,126.7687814,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
2022 관악강감찬축제,낙성대공원,강감찬 장군 출병식+전승행렬 거리 퍼레이드+고려마을 테마 체험부스+강감찬 장군 추모제향 등 다채로운 행사 진행,28285762,https://ggcfest.com/,서울특별시 관악구 낙성대로 77,서울특별시 봉천동 228,37.47197208,126.959371,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
2022 군산시간여행축제,시간여행마을 일원,근대를 축으로 한 시간여행축제,634543302,http://festival.gunsan.go.kr/,전라북도 군산시 중앙로 178,전라북도 군산시 중앙로1가 11-1,35.98772627,126.711725,140,군산,20221101,10.4,16.5,5.3,25.1,-3.9,20221112,20221130,1018.9,69,1.9
2022 금정산성축제,금정산성광장 일원,"개막식, 주제공연, 전시·체험마당, 연계행사 등",515194062,,,부산광역시 금정구 금성동 682,35.2452813,129.0570297,159,부산,20221101,14.4,19.8,10.4,24.2,-0.8,20221112,20221130,1010.8,57,2.7
2022 김포 아라마린페스티벌,아라마리나 일원,SUP대회+수상레저체험행사+문화콘서트 등,319997833,https://aramarinefestival.com,,경기도 김포시 고촌읍 전호리 661,37.59870927,126.7878826,201,강화,20221101,8.1,14.1,2.8,20.6,-7.8,20221112,20221130,1016.5,75,1.4
2022 김포 평화누리길 걷기 행사,평화누리길(김포 구간),걷기 프로그램+부대행사 등,319568307,https://dmz.ggtour.or.kr/,,경기도 김포시 대곶면 대명리 551-19,37.64048159,126.5409612,201,강화,20221101,8.1,14.1,2.8,20.6,-7.8,20221112,20221130,1016.5,75,1.4
2022 내 집 앞 세계영화제,양재천 영동3교+영동5교 공연장,양재천을 배경으로 다양한 주제의 세계영화 12편 상영,234235533,https://www.gangnamfilm.com,서울특별시 강남구 도곡동 영동3교 개포동 영동5교,,,,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
2022 대구할로윈축제,앞산카페거리+안지랑곱창골목,미군부대가 있는 남구의 다문화적 특성과 관광자원을 연계한 이색 축제,536643262,,대구광역시 남구 안지랑로20길 79-2,대구광역시 남구 대명9동 900-15,35.83821749,128.5756934,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
2022 대전 서구힐링 아트페스티벌,샘머리공원 및 보라매공원(서구청앞) 일원,아트마켓 등 6개분야 100여개 프로그램,422882742,http://www.seogu.go.kr/sorg/content.do?mnucd=SGMENU0500242,대전광역시 서구 둔산서로 100,대전광역시 서구 둔산동 1544,36.35505601,127.3833576,133,대전,20221101,9.5,16.6,3.8,25.3,-5.5,20221112,20221130,1013.4,64,1.5
2022 대한민국 독서대전,댄싱공연장 일원 등,"학술토론, 전시체험 등",337373817,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.33642953,127.9462614,114,원주,20221101,8.5,14.9,3.2,22.4,-5.5,20221112,20221130,1003.5,66,0.7
