FSTVL_NM,OPAR_NM,FSTVL_CN,TEL_NO,HMPG_URL,FCLTY_ROAD_NM_ADDR,LNM_ADDR,LA,LO,BHF_CD,BHF_NM,MESURE_DE,AVRG_TP,AVRG_TOP_TP,AVRG_LWET_TP,TOP_TP,LWET_TP,TOP_TP_OCCRRNC_DE,LWET_TP_OCCRRNC_DE,AVRG_ARCSR,AVRG_PARTN_HD,AVRG_WIND_VE
대구 근대路야행,근대골목 일원(청라언덕~계산성당~약령시한의약박물관),문화(재)시설 오픈하우스+ 전시+ 공연+ 체험+ 강좌+ 투어 등,536612195,,대구광역시 중구 달구벌대로415길 49,대구광역시 중구 남성로 51-1,35.86851636,128.5899085,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구 근대路야행(1회),약령시일원,문화(재)시설 오픈하우스+ 전시+ 공연+ 체험+ 강좌+ 투어 등,536612195,,대구광역시 중구 달구벌대로415길 49,대구광역시 중구 남성로 51-1,35.86851636,128.5899085,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구 근대路야행(2회),청라언덕,문화(재)시설 오픈하우스+ 전시+ 공연+ 체험+ 강좌+ 투어 등,536612195,,"대구광역시 중구 달구벌대로2035 (동산동, 동산아파트)",대구광역시 중구 동산동 357,35.8670786,128.5860498,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구 문화재 야행,"약령시, 청라언덕",문화(재)시설 오픈하우스+ 전시+ 공연+ 체험+ 강좌+ 투어 등,536612181,,대구광역시 중구 달구벌대로415길 49,대구광역시 중구 남성로 51-1,35.86851636,128.5899085,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구 북구 떡볶이 페스티벌,고성동 일대,떡볶이 페스티벌,536652172,,,대구광역시 북구 고성동3가 2,35.88301935,128.5861543,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구국제뮤지컬페스티벌,공연장,국내외 우수작품 공연+딤프어워즈+딤프린지 등,536221945,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구국제오페라축제,공연장,초청 오페라 공연+국제오페라오디션 등,538033792,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구국제재즈축제,공원,재즈뮤지션 초청공연+프린지 공연+대구국제실용음악콩쿠르 개최,5315441850,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구글로벌게임문화축제 e-fun,동성로,게임영상콘서트+e스포츠대회+코스프레대회+게임체험존 운영,538033801,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구문화재야행,대구근대골목,근대 관련 문화공연+전시+체험+청사초롱 야경투어 및 테마투어 등,536612195,http://www.jung.daegu.kr/,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구생활문화제,동성로,예술동호회 공연 및 전시+체험존 운영,538033631,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구스트리트 모터 페스티벌,남산동 자동차골목,자동차전시+ 레이싱모델쇼+ 공연 등,536613014,,대구광역시 중구 명덕로35길 14,대구광역시 중구 남산동 2113-8,35.85747199,128.5883239,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구스트리트 모터 페스티벌,남산동 자동차골목,자동차전시+ 레이싱모델쇼+ 공연 등,536613014,,대구광역시 중구 명덕로35길 14,대구광역시 중구 남산동 2113-8,35.85747199,128.5883239,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구스트리트 모터 페스티벌,남산동 자동차골목,자동차전시+ 레이싱모델쇼+ 공연 등,536612180,,대구광역시 중구 명덕로35길 14,대구광역시 중구 남산동 2113-8,35.85747199,128.5883239,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구스트리트모터페스티벌,남산동 자동차골목,차량 전시+축하공연+부대행사 등,536613014,http://www.jung.daegu.kr/,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구약령시 한방문화축제,약령시(약전골목) 일원,경연+ 참여+ 체험+ 전시+ 공연+ 먹거리 등,536612044,http://www.herbfestival.org/kor/,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 35-13,35.86728562,128.5933466,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구약령시한방문화축제,약령시장,고유제+개막식+체험프로그램 등,532534729,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구워터페스티벌,북성로 공구골목 일원,물총놀이+ 무대행사+ 푸드트럭+ 플리마켓+ 주민쉼터 등,536612174,,대구광역시 중구 북성로 104,대구광역시 중구 북성로1가 96-2,35.87433558,128.5936894,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구치맥페스티벌,두류공원,치맥 테마 식음+체험+공연+참여프로그램 운영 등,532489998,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구치맥페스티벌,두류공원,치맥 테마 식음+체험+공연+참여프로그램 운영 등,532489998,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구컬러풀페스티벌,국채보상로,퍼레이드+축하공연+부대행사 등,534301261,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구패션주얼리위크,대구 주얼리 특구,비대면 온라인 축제 개최+  주얼리패션쇼+ 주얼리경매+ 주얼리모델선발대회+ 주얼리체험 등,536612046,,대구광역시 중구 경상감영길 176,대구광역시 중구 동문동 38-6,35.87177744,128.5966863,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구패션주얼리위크,교동,주얼리패션쇼+주얼리 경매+주얼리 모델대회 등,534249150,http://www.jung.daegu.kr/,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구포크페스티벌,공원,포크송 및 버스킹 공연+언택트 공연 100인 랜선 합창 등,536262015,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구할로윈축제,앞산 맛길,할로윈 퍼레이드+할로윈 코스튬콘테스트 등,536642174,http://www.nam.daegu.kr/,대구광역시 남구 이천로 51(봉덕동),,35.84594995,128.5975989,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구화교중화문화축제,화교거리,중국용춤·사자춤+중화전통의상+음식+놀이 등,532550561,http://www.jung.daegu.kr/,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구화교중화문화축제,종로 화교소학교 및 화교거리,무대행사 및 거리행사+ 전시행사 등,536612177,,대구광역시 중구 중앙대로79길 31 (종로2가),대구광역시 중구 종로2가 12,35.86904475,128.5920612,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
