FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADSTRD_NM,RDNMADR_NM,TIME,SEARCH_SUM,RANK_AVG
팔봉산감자축제,36.81761837,126.3662446,충청남도,서산시,팔봉면,팔봉면,충청남도 서산시 팔봉면 팔봉산로 100,2018-09~2019-11,51720.0,15.0
서산6쪽마늘축제,36.7135571698,126.5503841589,충청남도,서산시,해미면,해미면,충청남도 서산시 해미면 남문2로 143,2018-10~2019-11,1572.0,6.5
삼길포우럭축제,37.0010156,126.45157657,충청남도,서산시,대산읍,대산읍,충청남도 서산시 대산읍 삼길포3길 8,2018-09~2019-11,24980.0,8.0
서산뻘낙지먹물축제,36.8804015609,126.3845472,충청남도,서산시,지곡면,지곡면,충청남도 서산시 지곡면 어름들2길 66,2018-10~2019-10,91.0,2.5
서산어리굴젓축제,36.6037549404,126.4110015619,충청남도,서산시,부석면,부석면,충청남도 서산시 부석면 간월도1길 119-29,2018-10~2019-11,2305.0,6.5
서산해미읍성축제,36.7135571698,126.5503841589,충청남도,서산시,해미면,해미면,충청남도 서산시 해미면 남문2로 143,2018-09~2019-11,47820.0,8.0
서산국화축제,36.6693265,126.536271,충청남도,서산시,고북면,고북면,충청남도 서산시 고북면 복남골길 31-1,2018-09~2019-11,104910.0,8.0
논산딸기축제,36.2092288864,127.0819869,충청남도,논산시,대교동,부창동,충청남도 논산시 강변로 370,2018-09~2019-11,1053560.0,15.0
강경젓갈축제,36.15755616,127.0098062,충청남도,논산시,강경읍,강경읍,충청남도 논산시 강경읍 금백로 45,2018-10~2019-11,292600.0,14.0
양촌곶감축제,36.1292062,127.2474063108,충청남도,논산시,양촌면,양촌면,충청남도 논산시 양촌면 이메길 31-13,2018-09~2019-11,76480.0,15.0
2019계룡세계軍문화축제,,,충청남도,계룡시,신도안면,신도안면,충청남도 계룡시 신도안면 계룡대로 663,2018-10~2019-11,112989.0,7.5
왜목해돋이축제,36.8897399814,126.6459689074,충청남도,당진시,수청동,당진1동,충청남도 당진시 시청1로 1,2018-12~2018-12,112.0,1.0
기지시줄다리기 민속축제,36.8961613826,126.694732,충청남도,당진시,송악읍,송악읍,충청남도 당진시 송악읍 안틀모시길 11,2018-09~2019-11,17520.0,15.0
장고항 실치축제,37.0288688,126.5619088,충청남도,당진시,석문면,석문면,충청남도 당진시 석문면 장고항로 298-5,2018-09~2019-11,703680.0,15.0
한진포구 바지락 갯벌체험축제,36.9704187472,126.7815875405,충청남도,당진시,송악읍,송악읍,충청남도 당진시 송악읍 한진포구길 50-1,2018-10~2019-11,15368.0,14.0
면천 진달래축제,36.817618912,126.666993,충청남도,당진시,면천면,면천면,충청남도 당진시 면천면 면천서문1길 69,2019-03~2019-05,1158.0,3.0
심훈상록문화제,36.889754,126.6459689,충청남도,당진시,수청동,당진1동,충청남도 당진시 시청1로 1,2018-09~2019-11,42480.0,15.0
금산인삼축제,36.1000256,127.500730392,충청남도,금산군,금산읍,금산읍,충청남도 금산군 금산읍 인삼광장로 30,2018-09~2019-11,1424880.0,15.0
비단고을산꽃축제,36.19093401,127.5710874,충청남도,금산군,군북면,군북면,충청남도 금산군 군북면 자진뱅이길 95,2018-10~2019-09,24384.0,8.0
금강여울축제,36.0751568,127.5683215,충청남도,금산군,부리면,부리면,충청남도 금산군 부리면 적벽강로 189,2018-09~2019-11,36472.0,15.0
금산천봄꽃축제,36.1020211,127.4843123,충청남도,금산군,금산읍,금산읍,충청남도 금산군 금산읍 금산천길 28,2019-03~2019-05,768.0,3.0
부여서동연꽃축제,36.2714589095,126.9136907931,충청남도,부여군,부여읍,부여읍,충청남도 부여군 부여읍 궁남로 52,2018-09~2019-11,508080.0,15.0
백제문화제,36.2871431191,126.9067822198,충청남도,부여군,부여읍,부여읍,충청남도 부여군 부여읍 백강로 148,2018-09~2019-11,2021520.0,22.0
춘장대해수욕장 여름문화예술축제,36.1633492182,126.5243354543,충청남도,서천군,서면,서면,충청남도 서천군 서면 춘장대길 20,2018-09~2019-08,904.0,7.0
자연산 광어.도미 축제,36.1293642,126.5036472,충청남도,서천군,서면,서면,충청남도 서천군 서면 서인로 56,2019-05~2019-11,444.0,4.0
동백꽃 주꾸미 축제,36.14324982,126.4963639,충청남도,서천군,서면,서면,충청남도 서천군 서면 서인로235번길 22,2018-10~2019-11,4696.0,14.0
홍원항 자연산 전어.꽃게 축제,36.15886,126.4992204,충청남도,서천군,서면,서면,충청남도 서천군 서면 홍원길 130-3,2018-10~2018-11,160.0,2.0
한산모시문화제,36.0799442369,126.7987047262,충청남도,서천군,한산면,한산면,충청남도 서천군 한산면 충절로 1089,2018-09~2019-11,45640.0,15.0
장승문화축제,36.4099152902,126.8503993545,충청남도,청양군,대치면,대치면,충청남도 청양군 대치면 장곡길 119-19,2019-04~2019-04,70.0,1.0
홍성역사인물축제,36.6017196006,126.6613896244,충청남도,홍성군,홍성읍,홍성읍,충청남도 홍성군 홍성읍 아문길 27,2018-09~2019-11,88400.0,15.0
홍성남당항대하축제,36.53503195,126.467178,충청남도,홍성군,서부면,서부면,충청남도 홍성군 서부면 남당항로213번길 25-62,2018-09~2019-11,457640.0,8.0
홍성남당항새조개축제,,,충청남도,홍성군,서부면,서부면,충청남도 홍성군 서부면 남당항로213번길 25-62,2018-09~2019-11,109130.0,8.0
윤봉길평화축제,36.6865376965,126.6513824809,충청남도,예산군,덕산면,덕산면,충청남도 예산군 덕산면 덕산온천로 183-5,2018-09~2019-10,7552.0,14.0
의좋은형제축제,36.60702389,126.7888311,충청남도,예산군,대흥면,대흥면,충청남도 예산군 대흥면 의좋은형제길 32,2018-10~2019-11,29888.0,14.0
태안국제모래조각 페스티벌,,,충청남도,태안군,원북면,원북면,충청남도 태안군 원북면 신두해변길 22-5,2018-10~2019-10,2357.0,6.5
태안 세계툴립축제,,,충청남도,태안군,안면읍,안면읍,충청남도 태안군 안면읍 꽃지해안로 400,2019-03~2019-05,82.0,2.0
제46회 강진청자축제,34.5088478,126.8004143,전라남도,강진군,대구면,대구면,전라남도 강진군 대구면 청자촌길 33,2018-09~2019-11,42050.0,8.0
제18회 전라병영성 축제,34.718656,126.8154678,전라남도,강진군,병영면,병영면,전라남도 강진군 병영면 홍교로 593,2019-02~2019-07,758.0,3.0
제16회 영랑문학제,34.6420738,126.7653823,전라남도,강진군,강진읍,강진읍,전라남도 강진군 강진읍 영랑생가길 15,2019-03~2019-04,100.0,1.5
제3회 강진만 춤추는 갈대축제,34.6259705,126.7725422,전라남도,강진군,강진읍,강진읍,전라남도 강진군 강진읍 남당로 97-23,2018-09~2019-11,27740.0,8.0
제25회 남도음식문화큰잔치,34.6259705,126.7725422,전라남도,강진군,강진읍,강진읍,전라남도 강진군 강진읍 남당로 97-23,2018-09~2019-11,20250.0,8.0
2019 금정산성축제,35.2453467,129.0635718,부산광역시,금정구,금성동,금성동,부산광역시 금정구 동문로 38,2018-10~2019-11,12930.0,6.0
청송사과축제,36.432499,129.054312,경상북도,청송군,청송읍,청송읍,경상북도 청송군 청송읍 강변로 87,2018-09~2019-11,107230.0,8.0
4.19혁명 국민문화제 2019,37.6391855278,127.0254517699,서울특별시,강북구,수유동,수유3동,서울특별시 강북구 도봉로89길 13,2018-12~2019-05,6237.0,3.0
종교연합바자회,37.6350142005,127.0129381662,서울특별시,강북구,수유동,인수동,서울특별시 강북구 인수봉로 159,2018-10~2019-10,140.0,2.0
해맞이축제,36.3519432105,129.384849569,경상북도,영덕군,강구면,강구면,경상북도 영덕군 강구면 해상공원길 120-11,2018-10~2019-11,149860.0,14.0
영덕대게축제,36.3608101146,129.392642424,경상북도,영덕군,강구면,강구면,경상북도 영덕군 강구면 영덕대게로 132,2018-09~2019-11,124530.0,8.0
영덕황금은어축제,36.422248,129.356322,경상북도,영덕군,영덕읍,영덕읍,경상북도 영덕군 영덕읍 강변길 388,2018-10~2019-11,5566.0,7.5
영덕물가자미축제,36.509106,129.446771,경상북도,영덕군,축산면,축산면축산출장소,경상북도 영덕군 축산면 축산항5길 9,2019-02~2019-06,1765.0,3.0
제58회 3·1민속문화제,35.4509233168,128.528940448,경상남도,창녕군,영산면,영산면,경상남도 창녕군 영산면 원다리길 15-1,2019-02~2019-02,18.0,1.0
제33회 비사벌문화제,35.5383589581,128.498729397,경상남도,창녕군,창녕읍,창녕읍,경상남도 창녕군 창녕읍 학천길 13,2018-10~2019-11,1400.0,4.5
가야문화축제,35.23606039,128.8730826,경상남도,김해시,대성동,북부동,경상남도 김해시 가야의길 126,2018-09~2019-11,35060.0,8.0
김해분청도자기축제,35.25149561,128.745857,경상남도,김해시,진례면,진례면,경상남도 김해시 진례면 진례로 275-35,2018-09~2019-11,22350.0,8.0
김해독서대전,35.2435463,128.872594,경상남도,김해시,구산동,북부동,경상남도 김해시 가야의길 190,2018-10~2019-11,1219.0,7.5
서대문독립민주축제,37.574374,126.956064,서울특별시,서대문구,현저동,천연동,서울특별시 서대문구 통일로 251,2018-09~2019-11,5466.0,8.0
크리스마스거리축제,37.557225,126.936889,서울특별시,서대문구,창천동,신촌동,서울특별시 서대문구 연세로 18,2018-11~2019-11,1109.0,2.0
제8회 낙동강 구포나루 축제,35.1968840178,128.990096806,부산광역시,북구,구포동,구포제2동,부산광역시 북구 낙동대로1570번길 33,2018-09~2019-11,25230.0,8.0
부산 2019 장애인미디어축제 in BIFF,35.1725961358,129.1303140024,부산광역시,해운대구,우동,우제2동,부산광역시 해운대구 센텀중앙로 42,2018-10~2019-10,696.0,6.5
2019 청소년미디어캠프,35.1238131689,126.8623375304,광주광역시,서구,금호동,금호2동,광주광역시 서구 회재로 905,2018-10~2019-08,84.0,3.0
2019 중딩영화제,35.1238131689,126.8623375304,광주광역시,서구,금호동,금호2동,광주광역시 서구 회재로 905,2018-11~2019-11,274.0,2.5
2019 ''방방곡곡 마을미디어'' 마을미디어축제,37.8949709818,127.6925751235,강원도,춘천시,서면,서면,강원도 춘천시 서면 박사로 882,2019-11~2019-11,19.0,1.0
2019 청소년창작영상제,37.8949709818,127.6925751235,강원도,춘천시,서면,서면,강원도 춘천시 서면 박사로 882,2018-10~2019-11,338.0,4.0
마을미디어축제(날짜미정),36.3783556637,127.3805319367,대전광역시,유성구,도룡동,신성동,대전광역시 유성구 대덕대로512번길 20,2018-11~2019-11,50.0,2.0
연수미디어페스티벌(신규),37.3797799192,126.6465733075,인천광역시,연수구,송도동,송도1동,인천광역시 연수구 인천타워대로54번길 19,2019-10~2019-11,64.0,1.5
제43회 남명선비문화축제,35.27631899,127.8460504,경상남도,산청군,시천면,시천면,경상남도 산청군 시천면 남명로240번길 33,2018-09~2019-11,4033.0,8.0
제12회 지리산산청곶감축제,35.2742700585,127.836366087,경상남도,산청군,시천면,시천면,경상남도 산청군 시천면 송하중태길 6,2018-11~2019-11,6574.0,6.0
제19회 산청한방약초축제,35.4195390054,127.8713587299,경상남도,산청군,금서면,금서면,경상남도 산청군 금서면 친환경로2605번길 22,2018-09~2019-11,99040.0,8.0
산청 경호강 물 페스티벌,35.4195390054,127.8713587299,경상남도,산청군,금서면,금서면,경상남도 산청군 금서면 친환경로2605번길 22,2019-05~2019-08,847.0,2.5
산청황매산철쭉제,35.4875916588,127.968645,경상남도,산청군,차황면,차황면,경상남도 산청군 차황면 황매산로1202번길 199,2018-09~2019-11,80660.0,8.0
제13회 기산국악제전,35.2759781242,127.934031308,경상남도,산청군,단성면,단성면,경상남도 산청군 단성면 상동길 69,2018-10~2019-10,238.0,3.0
생초국제조각공원 꽃잔디 축제,35.4923287633,127.8317387921,경상남도,산청군,생초면,생초면,경상남도 산청군 생초면 산수로 1064,2019-04~2019-05,56.0,1.5
제11회 산청불교문화제전,35.2776521661,127.9649713925,경상남도,산청군,단성면,단성면,경상남도 산청군 단성면 성철로102번길 33,2019-09~2019-10,130.0,1.5
장수 한우랑 사과랑 축제,35.6411153993,127.253641,전라북도,장수군,장수읍,장수읍,전라북도 장수군 장수읍 한누리로 393,2018-10~2019-11,48630.0,7.5
백제 어울마당,36.465007,127.1236356159,충청남도,공주시,금성동,웅진동,충청남도 공주시 웅진로 280,2019-03~2019-05,49.0,2.0
웅진성수문병 근무교대식,36.4652153294,127.123680178,충청남도,공주시,금성동,웅진동,충청남도 공주시 웅진로 280,2019-04~2019-11,169.0,3.0
공주 석장리 구석기축제,36.4479522117,127.1875895033,충청남도,공주시,석장리동,월송동,충청남도 공주시 금벽로 990,2019-02~2019-09,636.0,4.0
계룡산산신제,36.333638,127.177107,충청남도,공주시,계룡면,계룡면,충청남도 공주시 계룡면 보목고개로 393,2018-09~2019-11,1796.0,8.0
마곡사 신록축제,36.5590683934,127.0122348273,충청남도,공주시,사곡면,사곡면,충청남도 공주시 사곡면 마곡사로 966,2018-09~2019-10,1725.0,7.5
제63회 백제문화제,36.4689189906,127.127104525,충청남도,공주시,신관동,신관동,충청남도 공주시 금벽로 368,2018-09~2019-11,336920.0,8.0
2017 겨울공주군밤축제,36.4333691468,127.124038,충청남도,공주시,금학동,금학동,충청남도 공주시 수원지공원길 74,2018-10~2019-11,10944.0,7.5
2018 백제어울마당,36.4606050456,127.1126907251,충청남도,공주시,웅진동,웅진동,충청남도 공주시 왕릉로 37,2019-03~2019-05,49.0,2.0
2018 웅진성수문병 근무교대식,36.4652153294,127.123680178,충청남도,공주시,금성동,웅진동,충청남도 공주시 웅진로 280,2019-04~2019-11,169.0,3.0
2018 공주 석장리 세계구석기축제,36.4479522117,127.1875895033,충청남도,공주시,석장리동,월송동,충청남도 공주시 금벽로 990,2018-09~2019-10,37460.0,7.5
2018 계룡산산신제,36.333638,127.177107,충청남도,공주시,계룡면,계룡면,충청남도 공주시 계룡면 보목고개로 393,2018-09~2019-11,1796.0,8.0
제15회 마곡사신록축제,36.5590683934,127.0122348273,충청남도,공주시,사곡면,사곡면,충청남도 공주시 사곡면 마곡사로 966,2018-09~2019-10,1725.0,7.5
2018 계룡산벚꽃축제,36.36030634,127.2509274183,충청남도,공주시,반포면,반포면,충청남도 공주시 반포면 동학사1로 167-31,2018-11~2019-11,20569.0,5.5
2018 마곡사토요무대,36.55728753,127.0183843,충청남도,공주시,사곡면,사곡면,충청남도 공주시 사곡면 마곡사로 854,2019-06~2019-08,162.0,2.0
제64회 백제문화제,36.4689189906,127.127104525,충청남도,공주시,신관동,신관동,충청남도 공주시 금벽로 368,2018-09~2019-11,336920.0,8.0
2019겨울공주군밤축제,36.4333691468,127.124038,충청남도,공주시,금학동,금학동,충청남도 공주시 수원지공원길 74,2018-10~2019-11,10944.0,7.5
2019 백제어울마당,36.4606050456,127.1126907251,충청남도,공주시,웅진동,웅진동,충청남도 공주시 왕릉로 37,2019-03~2019-05,49.0,2.0
2019 웅진성수문병 근무교대식,36.4652153294,127.123680178,충청남도,공주시,금성동,웅진동,충청남도 공주시 웅진로 280,2019-04~2019-11,169.0,3.0
2019 공주 석장리 구석기축제,36.4479522117,127.1875895033,충청남도,공주시,석장리동,월송동,충청남도 공주시 금벽로 990,2019-02~2019-09,636.0,4.0
2019 계룡산산신제,36.333638,127.177107,충청남도,공주시,계룡면,계룡면,충청남도 공주시 계룡면 보목고개로 393,2018-09~2019-11,1796.0,8.0
제16회 마곡사신록축제,36.5590683934,127.0122348273,충청남도,공주시,사곡면,사곡면,충청남도 공주시 사곡면 마곡사로 966,2018-09~2019-10,1725.0,7.5
2019 계룡산벚꽃축제,36.36030634,127.2509274183,충청남도,공주시,반포면,반포면,충청남도 공주시 반포면 동학사1로 167-31,2018-11~2019-11,20569.0,5.5
갑사황매화 축제,36.36607692,127.1864443,충청남도,공주시,계룡면,계룡면,충청남도 공주시 계룡면 갑사로 567-3,2019-03~2019-09,3225.0,2.5
공주항공축제,36.51052026,127.1258208333,충청남도,공주시,의당면,의당면,충청남도 공주시 의당면 신촌길 149-8,2019-04~2019-09,1191.0,2.5
공주 금강여름축제,36.55728753,127.0183843,충청남도,공주시,사곡면,사곡면,충청남도 공주시 사곡면 마곡사로 854,2019-05~2019-07,83.0,2.0
제65회 백제문화제,36.4689189906,127.127104525,충청남도,공주시,신관동,신관동,충청남도 공주시 금벽로 368,2018-09~2019-11,336920.0,8.0
태강릉 문화제,37.624881,127.093038,서울특별시,노원구,공릉동,공릉2동,서울특별시 노원구 화랑로 620,2019-03~2019-06,3139.0,2.5
2019 군포철쭉축제,37.3548052,126.9225521,경기도,군포시,산본동,수리동,경기도 군포시 수리산로 33,2018-09~2019-11,198030.0,8.0
동백꽃 주꾸미 축제,36.1432498223,126.496363914,충청남도,서천군,서면,서면,충청남도 서천군 서면 서인로235번길 22,2018-10~2019-11,4696.0,14.0
한산모시문화제,36.0799445,126.7987047262,충청남도,서천군,한산면,한산면,충청남도 서천군 한산면 충절로 1089,2018-09~2019-11,45640.0,15.0
2018 연제고분판타지축제,35.183681,129.088039,부산광역시,연제구,연산동,연산제4동,부산광역시 연제구 묘봉산로9번길 11,2019-03~2019-11,6572.0,5.0
우륵문화제,36.9700759983,127.936087613,충청북도,충주시,성내동,성내.충인동,충청북도 충주시 관아5길 10,2018-09~2019-11,11150.0,8.0
지리산 바래봉 눈꽃축제,35.4350897044,127.548617545,전라북도,남원시,운봉읍,운봉읍,전라북도 남원시 운봉읍 바래봉길 214,2018-11~2019-11,386.0,3.0
제31회 지리산 뱀사골 고로쇠 약수제,35.3769935,127.581604,전라북도,남원시,산내면,산내면,전라북도 남원시 산내면 지리산로 842-8,2018-10~2019-04,884.0,4.0
제89회 춘향제,35.404129219,127.3805045186,전라북도,남원시,천거동,금동,전라북도 남원시 요천로 1447,2018-10~2019-11,25920.0,7.5
제25회 지리산 바래봉 철쭉제,35.4350897044,127.548617545,전라북도,남원시,운봉읍,운봉읍,전라북도 남원시 운봉읍 바래봉길 214,2018-10~2019-11,53088.0,7.0
제24회 봉화산 철쭉제,35.5240792353,127.576659,전라북도,남원시,아영면,아영면,전라북도 남원시 아영면 봉화산로 651,2019-01~2019-10,8475.0,5.0
흥부제,35.4029489054,127.3866196865,전라북도,남원시,어현동,노암동,전라북도 남원시 양림길 12,2018-10~2019-11,16590.0,7.5
지리산 뱀사골 단풍제,35.3717979335,127.5791369582,전라북도,남원시,산내면,산내면,전라북도 남원시 산내면 와운길 10,2018-10~2019-11,18285.0,6.0
고창모양성제,35.4353451752,126.7066501784,전라북도,고창군,고창읍,고창읍,전라북도 고창군 고창읍 중앙로 292,2018-09~2019-11,69980.0,8.0
고창청보리밭축제,35.376105844,126.543619016,전라북도,고창군,공음면,공음면,전라북도 고창군 공음면 학원농장길 158-6,2018-09~2019-11,307830.0,8.0
고창복분자와수박축제,35.4972340665,126.5781590312,전라북도,고창군,아산면,아산면,전라북도 고창군 아산면 선운사로 250,2018-09~2019-11,15780.0,7.0
고창갯벌축제,35.5300744648,126.5150432076,전라북도,고창군,심원면,심원면,전라북도 고창군 심원면 애향갯벌로 320,2018-09~2019-11,38620.0,8.0
무장읍성축제,35.4184177832,126.5573463109,전라북도,고창군,무장면,무장면,전라북도 고창군 무장면 무장읍성길 45,2019-04~2019-05,198.0,1.5
고창해풍고추축제,35.4611314556,126.5377985318,전라북도,고창군,해리면,해리면,전라북도 고창군 해리면 청해1길 15,2018-09~2019-11,2912.0,7.0
2019 대한민국 온천대축제,35.4311962737,126.7383543955,전라북도,고창군,고창읍,고창읍,전라북도 고창군 고창읍 석정2로 153,2018-10~2019-11,2340.0,7.5
제13회 신성한마음축제,36.3834454,127.357179,대전광역시,유성구,신성동,신성동,대전광역시 유성구 가정로 120,2019-07~2019-08,240.0,1.5
제17회 한여름밤의 축제,36.3984811,127.4056373,대전광역시,유성구,전민동,전민동,대전광역시 유성구 엑스포로 476,2019-04~2019-08,775.0,3.0
제3회 노은3동한마음축제,36.38411195,127.305374,대전광역시,유성구,지족동,노은3동,대전광역시 유성구 지족로 240,2019-08~2019-09,300.0,1.5
2019 노은한마음축제,36.37419807,127.3242295,대전광역시,유성구,지족동,노은2동,대전광역시 유성구 북유성대로 93,2018-10~2019-10,898.0,3.0
제4회 온천1·2동한마당축제,36.35574111,127.3454137,대전광역시,유성구,봉명동,온천1동,대전광역시 유성구 계룡로123번길 63,2019-09~2019-10,62.0,1.5
제9회 관평골축제,36.4243927,127.3940968,대전광역시,유성구,관평동,관평동,대전광역시 유성구 테크노중앙로 88,2019-07~2019-11,1137.0,3.0
제14회 구즉한마당축제,36.4349801,127.3840991,대전광역시,유성구,송강동,구즉동,대전광역시 유성구 송강로42번길 34,2019-09~2019-10,197.0,1.5
제21회 진잠주민화합한마당,36.2991404,127.3149893,대전광역시,유성구,원내동,진잠동,대전광역시 유성구 진잠로59번길 53,2018-10~2019-10,158.0,2.0
영천한약축제,35.9775233,128.9218161,경상북도,영천시,화룡동,서부동,경상북도 영천시 천문로 485,2018-09~2019-11,31420.0,8.0
영천문화예술제,35.9730714,128.9328273,경상북도,영천시,문외동,중앙동,경상북도 영천시 중앙동2길 89-15,2018-10~2019-11,1275.0,6.0
영천보현산별빛축제,36.1402561,128.9967122,경상북도,영천시,화북면,화북면,경상북도 영천시 화북면 별빛로 681-32,2018-09~2019-11,24180.0,8.0
정월대보름행사,35.96656577,128.9312498,경상북도,영천시,과전동,중앙동,경상북도 영천시 천문로 323,2018-10~2019-11,91150.0,7.5
포항국제불빛축제,36.017859,129.374454,경상북도,포항시 남구,해도동,해도동,경상북도 포항시 남구 희망대로 967,2018-09~2019-11,93090.0,8.0
포항해병대문화축제,35.9690231746,129.412741139,경상북도,포항시 남구,오천읍,오천읍,경상북도 포항시 남구 오천읍 해병로 293,2018-09~2019-11,54210.0,8.0
포항운하축제,36.0238715819,129.377390551,경상북도,포항시 남구,송도동,송도동,경상북도 포항시 남구 희망대로 1040,2018-10~2019-10,2461.0,5.5
포항 연날리기 한마당,36.010908,129.368551,경상북도,포항시 남구,해도동,해도동,경상북도 포항시 남구 희망대로 873,2018-10~2019-10,134.0,2.0
호미곶한민족해맞이축전,36.0767583861,129.56605883,경상북도,포항시 남구,호미곶면,호미곶면,경상북도 포항시 남구 호미곶면 해맞이로 136,2018-09~2019-11,8140.0,8.0
포항시 대학연합축제(POP),36.0379387077,129.363680653,경상북도,포항시 북구,대흥동,중앙동,경상북도 포항시 북구 중앙상가길 31,2019-10~2019-10,48.0,1.0
남일면홍도화축제,36.0171101,127.5180376,충청남도,금산군,남일면,남일면,충청남도 금산군 남일면 대홍로 632-8,2019-03~2019-09,472.0,4.0
금천하모니벚꽃축제 2018,37.4567667,126.895408,서울특별시,금천구,시흥동,시흥제1동,서울특별시 금천구 시흥대로73길 70,2018-11~2019-09,7485.0,6.0
정조대왕 능행차 공동재현,37.4510151,126.9074923,서울특별시,금천구,시흥동,시흥제5동,서울특별시 금천구 은행나무로 45,2018-09~2019-10,9506.0,7.5
여수거북선축제,34.7392244464,127.7365808142,전라남도,여수시,중앙동,중앙동,전라남도 여수시 이순신광장로 95,2018-09~2019-11,49820.0,8.0
제13회 영동포도축제,36.1642048,127.7819752,충청북도,영동군,영동읍,영동읍,충청북도 영동군 영동읍 영동황간로 122,2018-09~2019-11,72990.0,8.0
제50회 영동난계국악축제,36.1736274,127.7739921,충청북도,영동군,영동읍,영동읍,충청북도 영동군 영동읍 학산영동로 1244-1,2018-09~2019-11,30950.0,8.0
제8회 대한민국와인축제,36.1736274,127.7739921,충청북도,영동군,영동읍,영동읍,충청북도 영동군 영동읍 학산영동로 1244-1,2018-09~2019-11,17460.0,8.0
2017 영동곶감축제,36.1736274,127.7739921,충청북도,영동군,영동읍,영동읍,충청북도 영동군 영동읍 학산영동로 1244-1,2018-09~2019-11,42020.0,8.0
제22회 과천축제,37.4279091,126.9895045,경기도,과천시,중앙동,중앙동,경기도 과천시 통영로 5,2018-09~2019-11,49710.0,8.0
제11회 마포나루새우젓축제,37.5642503,126.901951,서울특별시,마포구,성산동,성산제2동,서울특별시 마포구 월드컵로 207,2018-09~2019-11,85757.0,8.0
함창명주페스티벌,36.576525,128.160039,경상북도,상주시,함창읍,함창읍,경상북도 상주시 함창읍 무운로 1593,2019-07~2019-10,103.0,2.5
상주 이야기축제,36.410959,128.158961,경상북도,상주시,남성동,남원동,경상북도 상주시 상산로 223,2018-09~2019-11,14290.0,8.0
정의공주와 함께 하는 도봉 한글잔치,37.66667,127.03375,서울특별시,도봉구,방학동,방학제2동,서울특별시 도봉구 도당로13마길 5,2018-09~2019-09,2356.0,4.5
정월대보름 큰잔치,37.6707774,127.0483768,서울특별시,도봉구,도봉동,도봉제2동,서울특별시 도봉구 마들로 684-20,2019-02~2019-02,76.0,1.0
도봉구민 건강축제,37.6686287,127.0470496,서울특별시,도봉구,방학동,방학제1동,서울특별시 도봉구 마들로 656,2019-01~2019-11,1060.0,11.0
도봉 과학축전,37.6686287,127.0470496,서울특별시,도봉구,방학동,방학제1동,서울특별시 도봉구 마들로 656,2018-10~2019-10,3236.0,8.0
도봉구 등축제,37.6617028,127.0382005,서울특별시,도봉구,방학동,방학제1동,서울특별시 도봉구 도봉로143길 70,2018-10~2019-11,54284.0,14.0
청원생명축제,36.7330755,127.407385,충청북도,청주시 청원구,오창읍,오창읍,충청북도 청주시 청원구 오창읍 미래지로 99,2018-09~2019-11,119830.0,8.0
홍길동축제,35.320062,126.727118,전라남도,장성군,황룡면,황룡면,전라남도 장성군 황룡면 홍길동로 445-12,2018-10~2019-11,1639.0,7.5
백양단풍축제,35.440252,126.883232,전라남도,장성군,북하면,북하면,전라남도 장성군 북하면 백양로 1239,2018-10~2019-11,414.0,3.0
고로쇠축제,35.440252,126.883232,전라남도,장성군,북하면,북하면,전라남도 장성군 북하면 백양로 1239,2018-10~2019-11,7013.0,7.5
산소축제,35.372009,126.746613,전라남도,장성군,서삼면,서삼면,전라남도 장성군 서삼면 모암길 153-99,2019-08~2019-10,58.0,2.0
단감축제,35.252498,126.771304,전라남도,장성군,남면,남면,전라남도 장성군 남면 자풍길 26-4,2018-10~2019-11,5670.0,7.5
장성가을 노란꽃잔치,35.182511,126.463925,전라남도,함평군,신광면,신광면,전라남도 함평군 신광면 일강로 700-74,2018-10~2018-10,23.0,1.0
제22회 무안연꽃축제,34.860212,126.530051,전라남도,무안군,일로읍,일로읍,전라남도 무안군 일로읍 백련로 333,2018-09~2019-11,123790.0,8.0
2018 무안황토갯벌축제,35.103769,126.332198,전라남도,무안군,해제면,해제면,전라남도 무안군 해제면 용산길 140,2018-09~2019-11,21990.0,8.0
파주북소리2019,37.7084828593,126.6867920691,경기도,파주시,문발동,교하동,경기도 파주시 회동길 145,2018-09~2019-11,14880.0,8.0
제32회 율곡문화제,37.864271,126.8709074,경기도,파주시,법원읍,법원읍,경기도 파주시 법원읍 자운서원로 184,2018-09~2019-11,5040.0,8.0
제15회 파주개성인삼축제,37.8893177,126.7400657,경기도,파주시,문산읍,문산읍,경기도 파주시 문산읍 임진각로 177,2018-09~2019-11,17740.0,8.0
제23회 파주장단콩축제,37.8893177,126.7400657,경기도,파주시,문산읍,문산읍,경기도 파주시 문산읍 임진각로 177,2018-09~2019-11,128950.0,8.0
2019 예천세계활축제,36.648225,128.451784,경상북도,예천군,예천읍,예천읍,경상북도 예천군 예천읍 충효로 234-19,2018-10~2019-11,6270.0,7.5
부여서동연꽃축제,36.2714589096,126.913690793,충청남도,부여군,부여읍,부여읍,충청남도 부여군 부여읍 궁남로 52,2018-09~2019-11,508080.0,15.0
백제문화제,36.2790247302,126.912881085,충청남도,부여군,부여읍,부여읍,충청남도 부여군 부여읍 정림로 83,2018-09~2019-11,2021520.0,22.0
달맞이축제,37.48430421,130.9056438274,경상북도,울릉군,울릉읍,울릉읍,경상북도 울릉군 울릉읍 도동2길 66,2018-10~2019-11,5720.0,14.0
