FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADSTRD_NM,RDNMADR_NM,TIME,SEARCH_SUM,RANK_AVG
대구국제오페라축제,35.8834639011,128.5922334523,대구광역시,북구,칠성동2가,칠성동,대구광역시 북구 칠성동2가 호암로 15,2021-01~2021-12,6230.0,6.5
대구국제재즈축제,35.8579241956,128.5906996027,대구광역시,중구,남산동,남산1동,대구광역시 중구 중앙대로 273,2021-01~2021-12,3270.0,6.5
대구국제패션문화페스티벌,35.883688163,128.5959763042,대구광역시,북구,침산동,침산2동,대구광역시 북구 호암로 51,2021-01~2021-12,637.0,6.5
대구국제호러페스티벌,35.8297697751,128.6901630446,대구광역시,수성구,대흥동,고산2동,대구광역시 수성구 유니버시아드로 180,2021-01~2021-09,110.0,4.0
대구스트리트 모터 페스티벌,35.857551,128.588345,대구광역시,중구,남산동,남산1동,대구광역시 중구 명덕로35길 14,2021-01~2021-11,385.0,5.5
대구약령시한방문화축제,35.8685176848,128.5899105046,대구광역시,중구,남성로,성내2동,대구광역시 중구 남성로 달구벌대로415길 49,2021-01~2021-12,6618.0,6.5
대구치맥페스티벌,35.8507464815,128.5616533709,대구광역시,달서구,두류동,두류3동,대구광역시 달서구 공원순환로 7,2021-01~2021-12,17970.0,6.5
대구포크페스티벌,35.8714205508,128.6248352412,대구광역시,동구,신천동,신천3동,대구광역시 동구 동대구로 461,2021-01~2021-12,1560.0,6.5
대금산진달래축제,34.9537992015,128.6983168598,경상남도,거제시,연초면,연초면,경상남도 거제시 연초면 대금산로 490-84,2021-01~2021-10,604.0,4.0
대청호뮤직패스티벌,36.4736253758,127.4735679339,대전광역시,대덕구,미호동,신탄진동,대전광역시 대덕구 대청로 607,2021-03~2021-04,22.0,1.5
도봉 과학축전,37.6686287,127.0470496,서울특별시,도봉구,방학동,방학제1동,서울특별시 도봉구 마들로 656,2021-12~2021-12,10.0,1.0
도봉구 등축제,37.6617028,127.0382005,서울특별시,도봉구,방학동,방학제1동,서울특별시 도봉구 도봉로143길 70,2021-01~2021-12,1533.0,5.5
도봉구민 건강축제,37.6686287,127.0470496,서울특별시,도봉구,방학동,방학제1동,서울특별시 도봉구 마들로 656,2021-10~2021-10,11.0,1.0
도솔산지구전투 전승행사,38.1063243998,127.981517,강원도,양구군,양구읍,양구읍,강원도 양구군 양구읍 박수근로 366-33,2021-05~2021-06,220.0,1.5
독일마을 맥주축제,34.80007258,128.038550226,경상남도,남해군,삼동면,삼동면,경상남도 남해군 삼동면 독일로 89-7,2021-01~2021-12,2360.0,6.5
돈내코계곡 원앙축제,33.3005035687,126.5819508506,제주특별자치도,서귀포시,상효동,영천동,제주특별자치도 서귀포시 돈내코로 137,2021-07~2021-07,15.0,1.0
동강국제사진제,37.182233,128.461472,강원도,영월군,영월읍,영월읍,강원도 영월군 영월읍 영월로 1909-10,2021-01~2021-12,4404.0,6.5
동래읍성역사축제,35.21195234,129.090544,부산광역시,동래구,명륜동,명륜동,부산광역시 동래구 문화로 80,2021-01~2021-12,4785.0,6.5
동백꽃 주꾸미 축제,36.14324982,126.4963639,충청남도,서천군,서면,서면,충청남도 서천군 서면 서인로235번길 22,2021-03~2021-03,25.0,1.0
동성로축제,35.869181,128.595424,대구광역시,중구,동성로2가,성내1동,대구광역시 중구 동성로2가 동성로 26,2021-01~2021-12,3720.0,6.5
동춘당문화제,36.3653788884,127.4412933069,대전광역시,대덕구,송촌동,송촌동,대전광역시 대덕구 동춘당로 80,2021-03~2021-12,187.0,5.0
동해무릉제,37.5230127,129.1143227,강원도,동해시,천곡동,천곡동,강원도 동해시 중앙로 250,2021-01~2021-12,677.0,6.5
땅끝 해넘이·해맞이 축제,34.2982093,126.5293983,전라남도,해남군,송지면,송지면,전라남도 해남군 송지면 땅끝마을길 70-14,2021-01~2021-12,231.0,4.0
땅끝매화축제,34.6243948,126.463392,전라남도,해남군,산이면,산이면,전라남도 해남군 산이면 예덕길 125-89,2021-01~2021-12,590.0,4.0
땅끝수국축제,34.4532113934,126.595501382,전라남도,해남군,현산면,현산면,전라남도 해남군 현산면 봉동길 232-118,2021-02~2021-10,980.0,4.5
롤링나이트 2019,37.511823281,127.0591597219,서울특별시,강남구,삼성동,삼성1동,서울특별시 강남구 영동대로 513,2021-04~2021-11,36.0,2.0
류방택 별 축제,36.7861429,126.4486172021,충청남도,서산시,읍내동,부춘동,충청남도 서산시 문화로 54,2021-01~2021-12,526.0,6.5
마곡사 신록축제,36.5590683934,127.0122348273,충청남도,공주시,사곡면,사곡면,충청남도 공주시 사곡면 마곡사로 966,2021-03~2021-11,143.0,3.5
마산가고파국화축제,35.186741,128.564277,경상남도,창원시 마산합포구,월포동,반월중앙동,경상남도 창원시 마산합포구 해안대로 148,2021-01~2021-12,9249.0,6.5
마산만날제,35.178438,128.559,경상남도,창원시 마산합포구,해운동,월영동,경상남도 창원시 마산합포구 가포로 22-1,2021-01~2021-12,1980.0,6.5
마토예술제,36.960171,127.045036,경기도,평택시,팽성읍,팽성읍,경기도 평택시 팽성읍 안정쇼핑로 22,2021-05~2021-10,359.0,3.5
면천 진달래축제,36.817618912,126.666993,충청남도,당진시,면천면,면천면,충청남도 당진시 면천면 면천서문1길 69,2021-03~2021-04,30.0,1.5
명량대첩축제,34.5707161325,126.3009788854,전라남도,진도군,군내면,군내면,전라남도 진도군 군내면 진도대로 8459-13,2021-01~2021-12,4320.0,6.5
목포항구축제,34.7828401,126.392251316,전라남도,목포시,산정동,만호동,전라남도 목포시 삼학로92번길 68,2021-01~2021-12,8630.0,6.5
무창포신비의바닷길축제,36.2424253,126.5350884193,충청남도,보령시,웅천읍,웅천읍,충청남도 보령시 웅천읍 열린바다1길 35,2021-01~2021-12,848.0,6.5
문경사과축제,36.7616020654,128.076990477,경상북도,문경시,문경읍,문경읍,경상북도 문경시 문경읍 새재로 932,2021-01~2021-12,108980.0,6.5
