FCLTY_ID,FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,SEARCH_MT,SEARCH_CO,RANK_CO,FILE_NM,BASE_DE
KC594PO20N000000001,"2014 안양시민축제","37.3901372701","126.9613301749",경기도,안양시 동안구,"4117310300",평촌동,"4117357600",평안동,"411733183003",경기도 안양시 동안구 관평로 149,"2020-09",440.0,1,KC_594_WNTY_FSTV_TRND_MAP_2020,"20210128"
KC594PO20N000000002,"2014 안양시민축제","37.3901372701","126.9613301749",경기도,안양시 동안구,"4117310300",평촌동,"4117357600",평안동,"411733183003",경기도 안양시 동안구 관평로 149,"2020-08",260.0,2,KC_594_WNTY_FSTV_TRND_MAP_2020,"20210128"
KC594PO20N000000003,"2014 안양시민축제","37.3901372701","126.9613301749",경기도,안양시 동안구,"4117310300",평촌동,"4117357600",평안동,"411733183003",경기도 안양시 동안구 관평로 149,"2020-07",330.0,3,KC_594_WNTY_FSTV_TRND_MAP_2020,"20210128"
KC594PO20N000000004,"2014 안양시민축제","37.3901372701","126.9613301749",경기도,안양시 동안구,"4117310300",평촌동,"4117357600",평안동,"411733183003",경기도 안양시 동안구 관평로 149,"2020-06",360.0,4,KC_594_WNTY_FSTV_TRND_MAP_2020,"20210128"
KC594PO20N000000005,"2014 안양시민축제","37.3901372701","126.9613301749",경기도,안양시 동안구,"4117310300",평촌동,"4117357600",평안동,"411733183003",경기도 안양시 동안구 관평로 149,"2020-05",120.0,5,KC_594_WNTY_FSTV_TRND_MAP_2020,"20210128"
KC594PO20N000000006,"2014 안양시민축제","37.3901372701","126.9613301749",경기도,안양시 동안구,"4117310300",평촌동,"4117357600",평안동,"411733183003",경기도 안양시 동안구 관평로 149,"2020-04",80.0,6,KC_594_WNTY_FSTV_TRND_MAP_2020,"20210128"
KC594PO20N000000007,"2014 안양시민축제","37.3901372701","126.9613301749",경기도,안양시 동안구,"4117310300",평촌동,"4117357600",평안동,"411733183003",경기도 안양시 동안구 관평로 149,"2020-03",110.0,7,KC_594_WNTY_FSTV_TRND_MAP_2020,"20210128"
KC594PO20N000000008,"2014 안양시민축제","37.3901372701","126.9613301749",경기도,안양시 동안구,"4117310300",평촌동,"4117357600",평안동,"411733183003",경기도 안양시 동안구 관평로 149,"2020-02",60.0,8,KC_594_WNTY_FSTV_TRND_MAP_2020,"20210128"
KC594PO20N000000009,"2014 안양시민축제","37.3901372701","126.9613301749",경기도,안양시 동안구,"4117310300",평촌동,"4117357600",평안동,"411733183003",경기도 안양시 동안구 관평로 149,"2020-01",90.0,9,KC_594_WNTY_FSTV_TRND_MAP_2020,"20210128"
KC594PO20N000000010,"2015 안양 시민축제","37.3901372701","126.9613301749",경기도,안양시 동안구,"4117310300",평촌동,"4117357600",평안동,"411733183003",경기도 안양시 동안구 관평로 149,"2020-09",440.0,1,KC_594_WNTY_FSTV_TRND_MAP_2020,"20210128"
